KalmanPitch,KalmanRoll,,,
-3.84,96.21,,,
-3.84,96.2,,,
-3.83,96.2,,,
-3.83,96.2,,-9.47,93.92
-3.83,96.19,,4.01,97.11
-3.82,96.19,,,
-3.82,96.19,,,
-3.82,96.18,,,
-3.82,96.18,,,
-3.81,96.18,,,
-3.81,96.18,,,
-3.81,96.17,,,
-3.81,96.17,,,
-3.8,96.17,,,
-3.8,96.17,,,
-3.8,96.17,,,
-3.8,96.16,,,
-3.8,96.16,,,
-3.8,96.15,,,
-3.8,96.15,,,
-3.79,96.15,,,
-3.79,96.15,,,
-3.79,96.14,,,
-3.79,96.14,,,
-3.78,96.13,,,
-3.78,96.13,,,
-3.78,96.13,,,
-3.78,96.13,,,
-3.78,96.12,,,
-3.78,96.12,,,
-3.78,96.12,,,
-3.77,96.12,,,
-3.77,96.12,,,
-3.77,96.12,,,
-3.77,96.12,,,
-3.77,96.12,,,
-3.78,96.12,,,
-3.78,96.12,,,
-3.78,96.12,,,
-3.78,96.12,,,
-3.78,96.12,,,
-3.77,96.11,,,
-3.77,96.11,,,
-3.77,96.11,,,
-3.76,96.1,,,
-3.75,96.1,,,
-3.75,96.09,,,
-3.74,96.09,,,
-3.74,96.08,,,
-3.73,96.08,,,
-3.72,96.07,,,
-3.72,96.07,,,
-3.71,96.06,,,
-3.71,96.06,,,
-3.71,96.06,,,
-3.71,96.06,,,
-3.71,96.05,,,
-3.71,96.05,,,
-3.71,96.05,,,
-3.71,96.05,,,
-3.71,96.05,,,
-3.71,96.05,,,
-3.71,96.05,,,
-3.71,96.05,,,
-3.71,96.05,,,
-3.71,96.05,,,
-3.71,96.05,,,
-3.71,96.05,,,
-3.71,96.05,,,
-3.7,96.04,,,
-3.7,96.04,,,
-3.7,96.04,,,
-3.7,96.04,,,
-3.69,96.03,,,
-3.69,96.03,,,
-3.69,96.03,,,
-3.69,96.02,,,
-3.68,96.02,,,
-3.68,96.02,,,
-3.68,96.02,,,
-3.68,96.02,,,
-3.68,96.01,,,
-3.68,96.01,,,
-3.68,96.01,,,
-3.67,96.01,,,
-3.67,96.01,,,
-3.67,96.01,,,
-3.67,96.01,,,
-3.67,96,,,
-3.67,96,,,
-3.67,96,,,
-3.67,96,,,
-3.67,96,,,
-3.67,96,,,
-3.67,95.99,,,
-3.66,95.99,,,
-3.66,95.99,,,
-3.66,95.99,,,
-3.66,95.98,,,
-3.66,95.98,,,
-3.65,95.98,,,
-3.65,95.98,,,
-3.65,95.98,,,
-3.65,95.97,,,
-3.65,95.97,,,
-3.65,95.97,,,
-3.64,95.97,,,
-3.64,95.97,,,
-3.64,95.96,,,
-3.64,95.96,,,
-3.64,95.96,,,
-3.64,95.96,,,
-3.64,95.96,,,
-3.64,95.96,,,
-3.64,95.96,,,
-3.64,95.95,,,
-3.63,95.95,,,
-3.63,95.95,,,
-3.63,95.95,,,
-3.63,95.95,,,
-3.63,95.95,,,
-3.63,95.95,,,
-3.63,95.95,,,
-3.63,95.94,,,
-3.62,95.94,,,
-3.62,95.94,,,
-3.62,95.94,,,
-3.62,95.94,,,
-3.62,95.94,,,
-3.62,95.93,,,
-3.62,95.93,,,
-3.61,95.93,,,
-3.61,95.93,,,
-3.61,95.93,,,
-3.61,95.93,,,
-3.61,95.92,,,
-3.61,95.92,,,
-3.61,95.92,,,
-3.61,95.92,,,
-3.61,95.92,,,
-3.61,95.92,,,
-3.6,95.92,,,
-3.6,95.91,,,
-3.6,95.91,,,
-3.6,95.91,,,
-3.6,95.91,,,
-3.6,95.91,,,
-3.6,95.91,,,
-3.59,95.9,,,
-3.59,95.9,,,
-3.59,95.9,,,
-3.59,95.9,,,
-3.59,95.9,,,
-3.59,95.9,,,
-3.59,95.9,,,
-3.59,95.9,,,
-3.58,95.9,,,
