KalmanPitch,KalmanRoll
0.48,170.83
0.45,170.87
0.42,170.92
0.39,170.96
0.36,171.01
0.34,171.05
0.31,171.09
0.29,171.14
0.27,171.19
0.25,171.23
0.23,171.28
0.21,171.32
0.19,171.36
0.17,171.41
0.16,171.45
0.14,171.49
0.12,171.54
0.11,171.58
0.09,171.62
0.07,169.76
0.05,169.81
0.03,169.86
0.02,169.91
0.01,169.97
0,170.03
0,170.08
0,170.15
-0.01,170.22
-0.02,170.29
-0.04,170.38
-0.02,170.48
-0.01,170.59
0,170.69
0.01,170.79
0.03,168.97
0.06,167.15
0.07,165.33
0.07,163.46
0.08,161.57
0.09,161.59
0.1,161.61
0.12,161.67
0.15,161.76
0.18,161.86
0.2,161.98
0.22,162.09
0.22,162.21
0.2,162.32
0.17,162.43
0.13,162.54
0.08,162.64
0.03,162.73
-0.01,162.82
-0.04,162.91
-0.06,163
-0.07,163.09
-0.08,163.17
-0.09,163.26
-0.1,163.35
-0.11,163.43
-0.11,163.51
-0.12,163.59
-0.13,163.67
-0.14,163.75
-0.15,163.82
-0.16,163.9
-0.17,163.98
-0.18,164.07
-0.2,164.15
-0.21,164.24
-0.22,164.32
-0.23,164.4
-0.25,164.48
-0.26,164.56
-0.27,164.64
-0.28,164.71
-0.29,164.79
-0.3,164.86
-0.3,164.94
-0.31,165.01
-0.32,165.08
-0.33,165.14
-0.34,165.21
-0.34,165.28
-0.35,165.35
-0.36,165.43
-0.38,165.5
-0.4,165.56
-0.41,165.62
-0.43,165.67
-0.44,165.71
-0.45,165.77
-0.46,165.83
-0.47,165.89
-0.47,165.96
-0.48,166.03
-0.48,166.1
-0.49,166.17
-0.49,166.24
-0.49,166.31
-0.49,166.39
-0.49,166.46
-0.49,166.53
-0.5,166.6
-0.5,166.67
-0.5,166.75
-0.5,166.82
-0.5,166.89
-0.5,166.96
-0.51,167.02
-0.51,167.09
-0.52,167.16
-0.52,167.23
-0.53,167.3
-0.53,167.36
-0.53,167.43
-0.53,167.5
-0.53,167.56
-0.53,167.63
-0.53,167.69
-0.54,167.75
-0.54,167.82
-0.54,167.87
-0.54,167.94
-0.54,168
-0.53,168.06
-0.53,168.12
-0.52,168.19
-0.51,168.25
-0.5,168.31
-0.5,168.38
-0.49,168.44
-0.48,168.51
-0.47,168.56
-0.45,168.6
-0.39,166.88
-0.4,166.93
-0.45,166.98
-0.49,167.04
-0.55,167.1
-0.62,167.15
-0.67,167.19
-0.69,167.25
-0.71,167.31
-0.74,167.38
-0.77,167.44
-0.8,167.49
-0.82,167.54
-0.81,167.59
-0.81,167.64
-0.79,167.71
-0.78,167.78
-0.78,167.86
-0.77,167.93
-0.76,168
-0.75,168.06
-0.74,168.12
-0.74,168.17
-0.74,168.22
-0.73,168.27
-0.71,168.31
-0.69,168.34
-0.69,168.39
-0.69,168.44
-0.68,168.51
-0.67,168.57
-0.68,166.73
-0.7,164.9
-0.75,163.08
-0.83,161.28
-0.94,159.47
-1.05,157.66
-1.12,157.77
-1.16,155.99
-1.2,154.22
-1.22,152.46
-1.25,152.61
-1.27,152.76
-1.29,152.91
-1.31,151.15
-1.32,149.4
-1.33,147.66
-1.34,145.94
-1.36,144.25
-1.39,142.59
-1.42,140.95
-1.49,139.3
-1.55,137.71
-1.63,136.13
-1.72,134.56
-1.8,132.98
-1.86,131.41
-1.91,129.83
-1.95,128.22
-1.96,128.5
-1.96,128.75
-1.94,128.97
-1.92,129.18
-1.87,129.37
-1.83,129.57
-1.79,129.77
-1.76,129.98
-1.73,130.2
-1.68,130.43
-1.63,130.68
-1.64,130.9
-1.6,131.15
-1.55,129.51
-1.52,127.87
-1.52,128.13
-1.57,128.35
-1.5,128.61
-1.46,128.86
-1.43,129.09
-1.42,129.3
-1.45,129.5
-1.45,129.69
-1.48,129.89
-1.46,130.1
-1.48,130.3
-1.46,130.52
-1.44,130.73
-1.45,130.95
-1.47,131.16
-1.48,131.37
-1.5,131.57
-1.42,131.78
-1.38,132
-1.42,132.21
-1.42,132.4
-1.39,132.59
-1.34,132.77
-1.26,132.93
-1.27,133.08
-1.25,133.23
-1.24,133.37
-1.21,133.53
-1.23,133.69
-1.27,133.88
-1.3,134.06
-1.3,134.25
-1.33,134.46
-1.34,134.67
-1.34,134.9
-1.37,133.24
-1.41,131.61
-1.43,129.97
-1.46,128.34
-1.48,128.62
-1.52,128.9
-1.57,129.19
-1.6,129.43
-1.63,129.67
-1.65,129.91
-1.67,130.15
-1.68,130.39
-1.69,130.62
-1.7,128.98
-1.7,129.26
-1.71,129.54
-1.72,127.92
-1.74,126.32
-1.76,124.72
-1.78,123.14
