KalmanPitch,KalmanRoll,,,,,
82.26,142.34,,,,,
82.28,142.37,,,,,
82.29,142.41,,,,,
82.31,142.46,,,71.56,,1.06
82.33,142.5,,,84.63,,143.92
82.35,142.54,,,,,
82.36,142.58,,,,,
82.38,142.63,,,,,
82.39,142.67,,,,,
82.41,142.7,,,,,
82.43,142.73,,,,,
82.45,142.77,,,,,
82.47,142.81,,,,,
82.49,142.84,,,,,
82.51,142.88,,,,,
82.53,142.92,,,,,
82.56,142.96,,,,,
82.58,143.01,,,,,
82.61,143.07,,,,,
82.64,143.11,,,,,
82.66,143.15,,,,,
82.69,143.2,,,,,
82.71,143.25,,,,,
82.74,143.3,,,,,
82.76,143.36,,,,,
82.78,143.41,,,,,
82.8,143.46,,,,,
82.82,143.51,,,,,
82.84,143.56,,,,,
82.86,143.61,,,,,
82.88,143.65,,,,,
82.9,143.69,,,,,
82.92,143.73,,,,,
82.95,143.77,,,,,
82.98,143.78,,,,,
83,143.8,,,,,
83.03,143.82,,,,,
83.06,143.86,,,,,
83.09,143.89,,,,,
83.12,143.92,,,,,
83.11,143.68,,,,,
83,143.4,,,,,
82.95,143.19,,,,,
82.92,143.07,,,,,
82.91,141.53,,,,,
82.89,140.13,,,,,
82.84,138.84,,,,,
82.8,137.56,,,,,
82.77,136.25,,,,,
82.77,134.86,,,,,
82.81,133.52,,,,,
82.83,131.93,,,,,
82.85,130.3,,,,,
82.86,130.48,,,,,
82.87,130.64,,,,,
82.87,130.79,,,,,
82.88,130.91,,,,,
82.89,131,,,,,
82.91,131.08,,,,,
82.93,131.15,,,,,
82.95,131.2,,,,,
82.98,131.24,,,,,
83,131.3,,,,,
83.03,131.36,,,,,
83.05,131.41,,,,,
83.08,131.46,,,,,
83.1,131.51,,,,,
83.13,131.55,,,,,
83.15,131.6,,,,,
83.17,131.69,,,,,
83.2,131.81,,,,,
83.22,131.93,,,,,
83.24,132.05,,,,,
83.25,132.16,,,,,
83.27,132.28,,,,,
83.28,132.41,,,,,
83.29,132.54,,,,,
83.29,132.66,,,,,
83.3,132.8,,,,,
83.3,132.94,,,,,
83.3,133.08,,,,,
83.3,133.21,,,,,
83.3,133.33,,,,,
83.3,133.45,,,,,
83.3,133.57,,,,,
83.31,133.68,,,,,
83.32,133.79,,,,,
83.33,133.91,,,,,
83.33,134,,,,,
83.34,134.08,,,,,
83.35,134.15,,,,,
83.36,134.22,,,,,
83.36,134.29,,,,,
83.37,134.35,,,,,
83.38,134.44,,,,,
83.38,134.52,,,,,
83.39,134.59,,,,,
83.39,134.68,,,,,
83.4,134.78,,,,,
83.41,134.88,,,,,
83.41,134.98,,,,,
83.42,135.09,,,,,
83.43,135.21,,,,,
83.44,135.31,,,,,
83.45,135.42,,,,,
83.45,135.54,,,,,
83.47,135.65,,,,,
83.48,135.76,,,,,
83.49,135.85,,,,,
83.5,135.93,,,,,
83.51,135.35,,,,,
83.16,135.58,,,,,
82.82,135.75,,,,,
82.63,135.88,,,,,
82.53,135.91,,,,,
82.44,135.96,,,,,
82.38,136.03,,,,,
82.36,136.05,,,,,
82.37,136.05,,,,,
82.4,136.12,,,,,
82.42,136.22,,,,,
82.43,136.13,,,,,
82.43,136.03,,,,,
82.44,136.06,,,,,
82.45,136.18,,,,,
82.46,136.25,,,,,
82.5,136.31,,,,,
82.57,136.39,,,,,
82.66,136.44,,,,,
82.79,136.45,,,,,
82.98,136.44,,,,,
83.2,136.57,,,,,
83.4,136.67,,,,,
83.6,136.58,,,,,
83.76,136.56,,,,,
83.85,136.61,,,,,
83.92,136.67,,,,,
83.95,136.74,,,,,
83.96,136.83,,,,,
83.96,136.91,,,,,
83.96,136.99,,,,,
83.96,137.07,,,,,
83.96,137.14,,,,,
83.98,137.22,,,,,
83.99,137.28,,,,,
84.01,137.34,,,,,
84.02,137.4,,,,,
84.02,137.44,,,,,
84.03,137.49,,,,,
84.03,137.54,,,,,
84.02,137.62,,,,,
84.01,137.71,,,,,
84.01,137.74,,,,,
84.01,137.93,,,,,
84.07,138.14,,,,,
84.15,137.92,,,,,
84.15,137.99,,,,,
84.15,136.31,,,,,
84.08,136.44,,,,,
83.95,136.56,,,,,
83.85,136.39,,,,,
83.73,134.71,,,,,
83.66,134.74,,,,,
83.59,134.72,,,,,
83.55,134.3,,,,,
83.53,133.92,,,,,
83.54,133.75,,,,,
83.55,133.67,,,,,
83.57,133.59,,,,,
83.58,133.54,,,,,
83.59,133.53,,,,,
83.6,133.57,,,,,
83.61,133.6,,,,,
83.62,133.62,,,,,
83.63,133.62,,,,,
83.63,133.63,,,,,
83.64,133.77,,,,,
83.65,132.13,,,,,
83.66,132.35,,,,,
83.69,132.37,,,,,
83.71,132.15,,,,,
83.77,131.98,,,,,
83.86,131.84,,,,,
83.98,131.93,,,,,
84.1,130.37,,,,,
84.19,128.96,,,,,
84.27,129.23,,,,,
84.32,129.43,,,,,
84.35,129.71,,,,,
84.39,129.89,,,,,
84.43,130.04,,,,,
84.48,130.26,,,,,
84.51,130.46,,,,,
84.53,130.72,,,,,
84.55,130.85,,,,,
84.56,130.94,,,,,
84.56,131.03,,,,,
84.57,131.03,,,,,
84.56,130.89,,,,,
84.56,130.78,,,,,
84.55,130.59,,,,,
84.55,130.51,,,,,
84.54,130.31,,,,,
84.52,130.07,,,,,
84.52,129.88,,,,,
84.52,129.71,,,,,
84.52,129.45,,,,,
84.53,129.19,,,,,
84.55,128.9,,,,,
84.58,128.86,,,,,
84.61,128.8,,,,,
84.62,128.59,,,,,
84.63,128.67,,,,,
84.53,128.77,,,,,
84.44,128.9,,,,,
84.36,129.06,,,,,
84.29,129.15,,,,,
84.24,129.27,,,,,
84.19,129.37,,,,,
84.14,129.45,,,,,
84.09,129.52,,,,,
84.05,129.6,,,,,
84.02,129.69,,,,,
83.99,129.79,,,,,
83.96,129.89,,,,,
83.92,130.01,,,,,
83.88,130.16,,,,,
83.85,130.34,,,,,
83.8,130.55,,,,,
83.75,130.76,,,,,
83.69,131,,,,,
83.62,131.27,,,,,
83.54,131.56,,,,,
83.47,131.87,,,,,
83.41,132.19,,,,,
83.34,132.51,,,,,
83.27,132.87,,,,,
83.22,133.24,,,,,
83.18,131.71,,,,,
83.14,130.2,,,,,
83.1,128.73,,,,,
83.06,127.26,,,,,
83.02,125.81,,,,,
82.98,124.4,,,,,
82.94,123,,,,,
82.89,121.63,,,,,
82.85,120.32,,,,,
82.81,118.97,,,,,
82.76,117.67,,,,,
82.73,116.38,,,,,
82.69,115.1,,,,,
82.67,113.89,,,,,
82.65,112.72,,,,,
82.63,111.64,,,,,
82.62,110.7,,,,,
82.59,109.83,,,,,
82.55,109.05,,,,,
82.51,108.31,,,,,
82.47,107.55,,,,,
82.43,106.77,,,,,
82.41,105.97,,,,,
82.38,105.16,,,,,
82.35,104.33,,,,,
82.32,103.48,,,,,
82.29,102.58,,,,,
82.27,101.67,,,,,
82.24,100.73,,,,,
82.23,99.78,,,,,
82.21,98.81,,,,,
82.2,97.84,,,,,
82.2,96.91,,,,,
82.2,96.02,,,,,
82.2,95.16,,,,,
82.19,94.3,,,,,
82.2,93.44,,,,,
82.2,92.61,,,,,
82.2,91.75,,,,,
82.2,90.9,,,,,
82.21,90.07,,,,,
82.22,89.27,,,,,
82.22,88.42,,,,,
82.23,87.63,,,,,
82.24,86.85,,,,,
82.25,86.1,,,,,
82.27,85.4,,,,,
82.28,84.66,,,,,
82.31,83.93,,,,,
82.34,83.41,,,,,
82.37,83,,,,,
82.38,82.66,,,,,
82.39,82.36,,,,,
82.39,82.04,,,,,
82.39,81.69,,,,,
82.39,81.33,,,,,
82.38,80.93,,,,,
82.37,80.5,,,,,
82.35,80.1,,,,,
82.33,79.65,,,,,
82.29,79.18,,,,,
82.26,78.73,,,,,
82.24,78.32,,,,,
82.19,77.88,,,,,
82.16,77.44,,,,,
82.12,77.05,,,,,
82.1,76.66,,,,,
82.07,76.27,,,,,
82.04,75.9,,,,,
82.02,75.59,,,,,
81.99,75.36,,,,,
81.95,75.14,,,,,
81.91,74.99,,,,,
81.88,74.8,,,,,
81.85,74.57,,,,,
81.84,74.33,,,,,
81.82,74.03,,,,,
81.8,73.72,,,,,
81.78,73.4,,,,,
81.77,73.12,,,,,
81.76,72.86,,,,,
81.72,72.72,,,,,
81.69,72.65,,,,,
81.65,72.61,,,,,
81.61,72.56,,,,,
81.58,72.52,,,,,
81.54,72.48,,,,,
81.5,72.45,,,,,
81.47,72.43,,,,,
81.44,72.4,,,,,
81.4,72.42,,,,,
81.36,72.44,,,,,
81.33,72.46,,,,,
81.29,72.5,,,,,
81.26,72.55,,,,,
81.23,72.62,,,,,
81.19,72.69,,,,,
81.15,72.83,,,,,
81.1,72.95,,,,,
81.05,73.08,,,,,
81,73.24,,,,,
80.94,73.41,,,,,
80.89,73.59,,,,,
80.84,73.8,,,,,
80.81,74.03,,,,,
80.77,74.27,,,,,
80.72,74.54,,,,,
80.69,74.82,,,,,
80.65,75.1,,,,,
80.61,75.4,,,,,
80.59,75.73,,,,,
80.57,76.05,,,,,
80.55,76.36,,,,,
80.53,76.71,,,,,
80.51,77.06,,,,,
80.49,77.48,,,,,
80.46,77.89,,,,,
80.44,78.32,,,,,
80.42,78.76,,,,,
80.4,79.22,,,,,
80.38,79.69,,,,,
80.35,80.16,,,,,
80.32,80.64,,,,,
80.29,81.11,,,,,
80.24,81.61,,,,,
80.2,82.1,,,,,
80.14,82.61,,,,,
80.09,83.12,,,,,
80.05,83.67,,,,,
80.01,84.22,,,,,
79.98,84.76,,,,,
79.96,85.36,,,,,
79.93,85.96,,,,,
79.89,86.54,,,,,
79.84,87.08,,,,,
79.78,87.63,,,,,
79.71,88.16,,,,,
79.66,88.72,,,,,
79.62,89.33,,,,,
79.57,89.95,,,,,
79.53,90.58,,,,,
79.49,91.2,,,,,
79.45,89.93,,,,,
79.42,88.7,,,,,
79.39,87.46,,,,,
79.36,86.28,,,,,
79.34,85.1,,,,,
79.32,83.94,,,,,
79.29,82.79,,,,,
79.26,81.63,,,,,
79.23,80.47,,,,,
79.21,79.31,,,,,
79.19,78.18,,,,,
79.16,77.06,,,,,
79.13,75.97,,,,,
79.1,74.9,,,,,
79.09,73.83,,,,,
79.06,72.8,,,,,
79.04,71.74,,,,,
79.02,70.75,,,,,
79.01,69.81,,,,,
78.99,68.95,,,,,
78.97,68.13,,,,,
78.94,67.34,,,,,
78.91,66.57,,,,,
78.87,65.78,,,,,
78.84,65.02,,,,,
78.81,64.24,,,,,
78.77,63.47,,,,,
78.74,62.7,,,,,
78.72,61.92,,,,,
78.7,61.15,,,,,
78.67,60.4,,,,,
78.66,59.65,,,,,
78.65,58.94,,,,,
78.64,58.24,,,,,
78.63,57.54,,,,,
78.63,56.88,,,,,
78.63,56.23,,,,,
78.61,55.58,,,,,
78.6,54.99,,,,,
78.58,54.38,,,,,
78.56,53.77,,,,,
78.55,53.16,,,,,
