KalmanPitch,KalmanRoll,
-10.39,2.6,
-10.39,2.6,
-10.39,2.6,
-10.39,2.6,
-10.39,2.6,
-10.39,2.61,
-10.4,2.61,
-10.41,2.62,
-10.41,2.62,
-10.42,2.63,
-10.43,2.63,
-10.44,2.63,
-10.45,2.64,
-10.46,2.64,
-10.46,2.64,
-10.47,2.64,
-10.47,2.64,
-10.47,2.64,
-10.47,2.64,
-10.47,2.64,
-10.47,2.64,
-10.47,2.64,
-10.47,2.63,
-10.46,2.63,
-10.46,2.63,
-10.46,2.63,
-10.46,2.64,
-10.46,2.64,
-10.46,2.64,
-10.46,2.64,
-10.46,2.65,
-10.46,2.65,
-10.46,2.65,
-10.46,2.65,
-10.46,2.66,
-10.46,2.66,
-10.46,2.66,
-10.46,2.66,
-10.46,2.66,
-10.46,2.66,
-10.46,2.66,
-10.47,2.66,
-10.47,2.66,
-10.47,2.66,
-10.47,2.66,
-10.47,2.66,
-10.48,2.66,
-10.48,2.66,
-10.48,2.66,
-10.49,2.67,
-10.49,2.67,
-10.5,2.67,
-10.5,2.67,
-10.5,2.68,
-10.51,2.68,
-10.51,2.68,
-10.51,2.68,
-10.51,2.69,
-10.51,2.69,
-10.51,2.69,
-10.51,2.69,
-10.52,2.69,
-10.52,2.69,
-10.52,2.69,
-10.52,2.69,
-10.52,2.69,
-10.52,2.69,
-10.52,2.69,
-10.52,2.68,
-10.52,2.68,
-10.51,2.69,
-10.51,2.69,
-10.51,2.69,
-10.5,2.69,
-10.5,2.69,
-10.5,2.73,
-10.52,2.72,
-10.51,2.71,
-10.51,2.71,
-10.5,2.71,
-10.5,2.71,
-10.5,2.7,
-10.49,2.7,
-10.49,2.7,
-10.49,2.7,
-10.49,2.7,
-10.5,2.7,
-10.5,2.7,
-10.5,2.7,
-10.5,2.7,
-10.5,2.7,
-10.5,2.7,
-10.5,2.7,
-10.5,2.7,
-10.5,2.7,
-10.51,2.7,
-10.51,2.7,
-10.52,2.71,
-10.52,2.71,
-10.53,2.71,
-10.53,2.71,
-10.53,2.71,
-10.53,2.71,
-10.53,2.72,
-10.52,2.72,
-10.52,2.72,
-10.52,2.72,
-10.52,2.72,
-10.52,2.72,
-10.52,2.72,
-10.52,2.72,
-10.52,2.72,
-10.51,2.72,
-10.51,2.71,
-10.51,2.71,
-10.51,2.72,
-10.51,2.72,
-10.51,2.72,
-10.51,2.72,
-10.51,2.72,
-10.51,2.72,
-10.52,2.73,
-10.52,2.73,
-10.52,2.73,
-10.52,2.73,
-10.53,2.73,
-10.53,2.73,
-10.53,2.73,
-10.54,2.74,
-10.54,2.74,
-10.54,2.74,
-10.54,2.74,
-10.54,2.74,
-10.55,2.74,
-10.55,2.74,
-10.55,2.74,
-10.55,2.74,
-10.55,2.74,
-10.55,2.74,
-10.55,2.74,
-10.55,2.74,
-10.55,2.74,
-10.54,2.74,
-10.53,2.74,
-10.52,2.74,
-10.51,2.74,
-10.5,2.74,
-10.49,2.75,
-10.48,2.75,
-10.47,2.75,
-10.45,2.75,
-10.44,2.75,
-10.43,2.75,
-10.42,2.75,
-10.42,2.75,
-10.42,2.75,
-10.42,2.75,
-10.42,2.76,
-10.41,2.76,
-10.41,2.75,
-10.41,2.75,
-10.41,2.75,
-10.41,2.76,
-10.41,2.76,
-10.41,2.76,
-10.42,2.76,
-10.42,2.76,
-10.42,2.76,
-10.42,2.76,
-10.43,2.76,
-10.43,2.76,
-10.44,2.76,
-10.44,2.76,
-10.44,2.76,
-10.44,2.76,
-10.43,2.76,
-10.43,2.76,
-10.43,2.76,
-10.42,2.76,
-10.42,2.76,
-10.42,2.76,
-10.42,2.76,
-10.42,2.77,
-10.42,2.77,
-10.42,2.77,
-10.41,2.77,
-10.41,2.77,
-10.41,2.77,
-10.4,2.77,
-10.4,2.77,
-10.4,2.77,
-10.39,2.77,
-10.38,2.77,
-10.37,2.77,
-10.35,2.77,
-10.34,2.77,
-10.33,2.78,
-10.31,2.78,
-10.3,2.78,
-10.29,2.78,
-10.27,2.78,
-10.26,2.78,
-10.24,2.78,
-10.23,2.78,
-10.21,2.78,
-10.18,2.78,
-10.15,2.77,
-10.12,2.77,
-10.08,2.77,
-10.03,2.77,
-9.98,2.77,
-9.94,2.77,
-9.88,2.77,
-9.84,2.78,
-9.8,2.78,
-9.76,2.78,
-9.73,2.78,
-9.71,2.79,
-9.67,2.79,
-9.64,2.79,
-9.6,2.79,
-9.56,2.79,
-9.52,2.79,
-9.49,2.79,
-9.46,2.79,
-9.43,2.8,
-9.4,2.81,
-9.38,2.84,
-9.38,2.9,
-9.37,2.95,
-9.36,2.97,
-9.35,2.99,
-9.35,3,
-9.35,3.01,
-9.35,3.03,
-9.35,3.03,
-9.35,3.04,
-9.36,3.04,
-9.36,3.05,
-9.36,3.05,
-9.35,3.05,
-9.34,3.05,
-9.34,3.05,
-9.33,3.05,
-9.32,3.05,
-9.31,3.05,
-9.3,3.05,
-9.29,3.05,
-9.28,3.05,
-9.27,3.05,
-9.26,3.05,
-9.25,3.05,
-9.25,3.05,
-9.24,3.06,
-9.24,3.06,
-9.24,3.06,
-9.24,3.06,
-9.24,3.06,
-9.24,3.06,
-9.24,3.06,
-9.24,3.06,
-9.24,3.06,
-9.23,3.06,
-9.22,3.06,
-9.21,3.06,
-9.2,3.06,
-9.18,3.07,
-9.17,3.07,
-9.16,3.07,
-9.15,3.07,
-9.14,3.07,
-9.14,3.07,
-9.13,3.08,
-9.14,3.08,
-9.13,3.12,
-9.14,3.12,
-9.19,3.12,
-9.23,3.11,
-9.28,3.1,
-9.33,3.07,
-9.37,3.04,
-9.4,2.99,
-9.43,2.93,
-9.45,2.87,
-9.47,2.8,
-9.47,2.72,
-9.46,2.63,
-9.43,2.52,
-9.39,2.4,
-9.33,2.25,
-9.27,2.09,
-9.2,1.94,
-9.13,1.79,
-9.08,1.66,
-9.03,1.51,
-8.96,1.36,
-8.9,1.2,
-8.83,1.03,
-8.76,0.86,
-8.68,0.68,
-8.61,0.51,
-8.53,0.33,
-8.46,0.17,
-8.38,0,
-8.3,-0.15,
-8.23,-0.29,
-8.17,-0.42,
-8.1,-0.56,
-8.02,-0.72,
-7.99,-0.82,
-7.97,-0.88,
-7.95,-0.93,
-7.95,-0.96,
-7.95,-1,
-7.95,-1.05,
-7.95,-1.09,
-7.94,-1.13,
-7.92,-1.17,
-7.89,-1.22,
-7.87,-1.28,
-7.84,-1.34,
-7.82,-1.41,
-7.8,-1.48,
-7.78,-1.54,
-7.78,-1.61,
-7.77,-1.69,
-7.77,-1.77,
-7.76,-1.87,
-7.75,-1.97,
-7.74,-2.1,
-7.73,-2.23,
-7.72,-2.38,
-7.71,-2.53,
-7.7,-2.68,
-7.69,-2.82,
-7.68,-2.96,
-7.67,-3.1,
-7.66,-3.23,
-7.65,-3.37,
-7.64,-3.5,
-7.62,-3.61,
-7.6,-3.73,
-7.58,-3.86,
-7.54,-4.04,
-7.53,-4.21,
-7.52,-4.43,
-7.5,-4.66,
-7.5,-4.9,
-7.5,-5.13,
-7.51,-5.34,
-7.52,-5.54,
-7.53,-5.71,
-7.53,-5.88,
-7.53,-6.04,
-7.53,-6.19,
-7.52,-6.34,
-7.52,-6.49,
-7.51,-6.65,
-7.5,-6.82,
-7.49,-6.99,
-7.48,-7.16,
-7.47,-7.31,
-7.47,-7.44,
-7.46,-7.54,
-7.46,-7.62,
-7.46,-7.68,
-7.43,-7.77,
-7.44,-7.86,
-7.45,-7.97,
-7.46,-8.09,
-7.46,-8.21,
-7.45,-8.36,
-7.43,-8.51,
-7.41,-8.67,
-7.39,-8.84,
-7.38,-9.02,
-7.37,-9.21,
-7.35,-9.4,
-7.36,-9.55,
-7.32,-9.72,
-7.28,-9.88,
-7.23,-10.03,
-7.19,-10.17,
-7.16,-10.32,
-7.13,-10.45,
-7.1,-10.59,
-7.07,-10.72,
-7.04,-10.83,
-7.02,-10.95,
-7,-11.08,
-6.98,-11.21,
-6.97,-11.36,
-6.97,-11.53,
-6.96,-11.71,
-6.96,-11.9,
-6.96,-12.09,
-6.96,-12.27,
-6.95,-12.45,
-6.95,-12.64,
-6.94,-12.82,
-6.94,-13.01,
-6.94,-13.2,
-6.94,-13.4,
-6.93,-13.58,
-6.92,-13.76,
-6.92,-13.94,
-6.91,-14.11,
-6.9,-14.29,
-6.9,-14.46,
-6.89,-14.64,
-6.9,-14.83,
-6.91,-15.02,
-6.91,-15.22,
-6.92,-15.45,
-6.94,-15.68,
-6.96,-15.92,
-6.98,-16.14,
-6.99,-16.35,
-6.99,-16.55,
-6.99,-16.74,
-6.99,-16.92,
-6.99,-17.1,
-6.99,-17.3,
-6.99,-17.49,
-6.98,-17.69,
-6.98,-17.89,
-6.98,-18.08,
-6.97,-18.28,
-6.97,-18.47,
-6.96,-18.67,
-6.96,-18.85,
-6.95,-19.04,
-6.95,-19.22,
-6.95,-19.4,
-6.95,-19.58,
-6.95,-19.77,
-6.97,-19.94,
-6.99,-20.11,
-7.01,-20.28,
-7.01,-20.46,
-7.01,-20.64,
-7.01,-20.82,
-7.01,-21.01,
-7,-21.21,
-7,-21.4,
-6.99,-21.6,
-6.99,-21.8,
-6.98,-21.98,
-6.98,-22.16,
-6.97,-22.34,
-6.97,-22.52,
-6.97,-22.71,
-6.96,-22.89,
-6.96,-23.08,
-6.96,-23.26,
-6.95,-23.45,
-6.95,-23.65,
-6.94,-23.85,
-6.94,-24.05,
-6.94,-24.26,
-6.93,-24.47,
-6.93,-24.7,
-6.92,-24.93,
-6.91,-25.18,
-6.9,-25.43,
-6.9,-25.69,
-6.89,-25.94,
-6.88,-26.2,
-6.87,-26.46,
-6.86,-26.72,
-6.85,-26.95,
-6.84,-27.17,
-6.83,-27.38,
-6.82,-27.58,
-6.81,-27.76,
-6.81,-27.92,
-6.85,-28.04,
-6.88,-28.17,
-6.9,-28.31,
-6.92,-28.45,
-6.93,-28.6,
-6.94,-28.77,
-6.94,-28.94,
-6.95,-29.12,
-6.95,-29.31,
-6.96,-29.51,
-6.97,-29.72,
-6.97,-29.93,
-6.97,-30.15,
-6.97,-30.36,
-6.97,-30.58,
-6.97,-30.78,
-6.98,-30.98,
-6.99,-31.18,
-7,-31.35,
-7.01,-31.51,
-7.03,-31.65,
-7.05,-31.78,
-7.07,-31.9,
-7.08,-32.03,
-7.09,-32.16,
-7.09,-32.3,
-7.09,-32.44,
-7.09,-32.59,
-7.08,-32.75,
-7.08,-32.91,
-7.07,-33.07,
-7.06,-33.23,
-7.05,-33.38,
-7.04,-33.52,
-7.04,-33.65,
-7.03,-33.78,
-7.02,-33.88,
-7.01,-33.96,
-7,-34.03,
-7,-34.08,
-6.99,-34.12,
-6.98,-34.15,
-6.97,-34.18,
-6.96,-34.21,
-6.95,-34.23,
-6.94,-34.26,
-6.93,-34.29,
-6.92,-34.32,
-6.91,-34.36,
-6.9,-34.4,
-6.89,-34.44,
-6.88,-34.48,
-6.88,-34.53,
-6.87,-34.58,
-6.87,-34.64,
-6.86,-34.7,
-6.85,-34.75,
-6.85,-34.81,
-6.84,-34.87,
-6.83,-34.93,
-6.83,-34.99,
-6.82,-35.05,
-6.82,-35.11,
-6.82,-35.17,
-6.81,-35.23,
-6.8,-35.29,
-6.8,-35.35,
-6.79,-35.42,
-6.79,-35.48,
-6.78,-35.55,
-6.78,-35.61,
-6.77,-35.68,
-6.77,-35.73,
-6.76,-35.79,
-6.76,-35.84,
-6.75,-35.89,
-6.75,-35.93,
-6.74,-35.97,
-6.73,-36.01,
-6.73,-36.05,
-6.72,-36.09,
-6.71,-36.13,
-6.71,-36.16,
-6.7,-36.18,
-6.69,-36.21,
-6.69,-36.22,
-6.68,-36.24,
-6.67,-36.25,
