Pitch,Roll,,,,
-2.46,-16.61,127.19,,,
-2.46,-17.47,127.2,,,
-2.46,-18.33,127.21,,,
-2.46,-19.18,127.2,,-4.81,-56.88
-2.46,-20.03,127.2,,-1.36,63.85
-2.47,-18.96,127.19,,,
-2.47,-17.89,127.2,,,
-2.47,-16.83,127.19,,,
-2.47,-15.78,127.19,,,
-2.47,-14.74,127.18,,,
-2.47,-13.69,127.17,,,
-2.47,-12.66,127.16,,,
-2.47,-11.63,127.16,,,
-2.47,-10.6,127.16,,,
-2.47,-9.58,127.17,,,
-2.47,-8.56,127.17,,,
-2.47,-9.46,127.17,,,
-2.47,-10.36,127.17,,,
-2.47,-11.25,127.17,,,
-2.47,-12.14,127.17,,,
-2.47,-13.02,127.17,,,
-2.47,-13.9,127.17,,,
-2.47,-14.77,127.16,,,
-2.47,-15.64,127.16,,,
-2.47,-16.5,127.16,,,
-2.47,-17.36,127.16,,,
-2.47,-18.21,127.16,,,
-2.47,-19.06,127.16,,,
-2.47,-19.91,127.16,,,
-2.47,-20.75,127.15,,,
-2.47,-21.59,127.14,,,
-2.47,-22.42,127.14,,,
-2.47,-23.25,127.15,,,
-2.47,-24.08,127.15,,,
-2.47,-22.98,127.15,,,
-2.47,-21.9,127.14,,,
-2.47,-22.73,127.14,,,
-2.47,-21.64,127.14,,,
-2.47,-22.48,127.14,,,
-2.47,-21.39,127.14,,,
-2.47,-22.23,127.14,,,
-2.47,-23.06,127.14,,,
-2.47,-23.89,127.13,,,
-2.47,-24.71,127.14,,,
-2.46,-25.53,127.14,,,
-2.46,-26.34,127.13,,,
-2.46,-27.15,127.12,,,
-2.46,-27.95,127.12,,,
-2.46,-28.75,127.12,,,
-2.46,-29.55,127.13,,,
-2.46,-30.34,127.14,,,
-2.46,-31.13,127.15,,,
-2.45,-31.91,127.14,,,
-2.45,-32.69,127.14,,,
-2.45,-33.46,127.14,,,
-2.45,-34.23,127.14,,,
-2.45,-35,127.14,,,
-2.45,-35.76,127.13,,,
-2.45,-36.52,127.14,,,
-2.45,-37.28,127.13,,,
-2.45,-38.03,127.12,,,
-2.45,-38.78,127.11,,,
-2.45,-39.52,127.1,,,
-2.45,-38.34,127.08,,,
-2.45,-37.17,127.06,,,
-2.19,-36.13,127.07,,,
-2.31,-36.87,127.01,,,
-2.37,-37.62,126.96,,,
-2.33,-36.5,126.92,,,
-2.29,-35.38,126.87,,,
-2.26,-34.26,126.82,,,
-2.25,-33.14,126.76,,,
-2.23,-32.02,126.71,,,
-2.24,-30.9,126.65,,,
-2.22,-29.79,126.58,,,
-2.21,-28.69,126.52,,,
-2.2,-27.58,126.47,,,
-2.21,-28.38,126.41,,,
-2.21,-29.18,126.34,,,
-2.22,-29.97,126.29,,,
-2.23,-30.75,126.24,,,
-2.23,-31.52,126.19,,,
-2.24,-32.29,126.14,,,
-2.26,-33.03,126.11,,,
-2.27,-33.77,126.09,,,
-2.29,-34.51,126.06,,,
-2.31,-35.25,126.03,,,
-2.33,-35.98,126.01,,,
-2.36,-36.72,126,,,
-2.39,-37.45,126,,,
-2.43,-38.19,126.01,,,
-2.45,-38.92,126.03,,,
-2.48,-39.65,126.06,,,
-2.5,-40.38,126.08,,,
-2.53,-41.11,126.1,,,
-2.55,-41.84,126.13,,,
-2.56,-42.56,126.15,,,
-2.61,-43.27,126.15,,,
-2.65,-43.99,126.15,,,
-2.6,-42.79,126.16,,,
-2.66,-43.5,126.17,,,
-2.68,-44.21,126.19,,,
-2.69,-44.92,126.2,,,
-2.69,-45.63,126.21,,,
-2.69,-46.34,126.2,,,
-2.7,-47.04,126.19,,,
-2.7,-47.73,126.19,,,
-2.69,-48.43,126.2,,,
-2.69,-49.11,126.21,,,
-2.69,-49.8,126.22,,,
-2.69,-50.48,126.23,,,
-2.7,-51.15,126.23,,,
-2.7,-51.82,126.24,,,
-2.7,-52.5,126.24,,,
-2.7,-53.17,126.24,,,
-2.7,-51.92,126.24,,,
-2.7,-50.68,126.25,,,
-2.7,-49.45,126.25,,,
-2.7,-48.22,126.25,,,
