KalmanPitch,KalmanRoll
-4.87,2.67
-4.87,2.67
-4.87,2.68
-4.88,2.68
-4.88,2.68
-4.88,2.68
-4.88,2.68
-4.88,2.68
-4.88,2.68
-4.88,2.68
-4.88,2.68
-4.88,2.67
-4.88,2.67
-4.88,2.67
-4.88,2.67
-4.88,2.67
-4.88,2.67
-4.88,2.67
-4.89,2.67
-4.89,2.68
-4.89,2.68
-4.89,2.68
-4.9,2.69
-4.9,2.69
-4.9,2.7
-4.91,2.7
-4.91,2.7
-4.91,2.7
-4.91,2.7
-4.91,2.71
-4.91,2.71
-4.91,2.7
-4.91,2.7
-4.9,2.7
-4.9,2.7
-4.9,2.71
-4.9,2.71
-4.9,2.71
-4.9,2.71
-4.9,2.71
-4.9,2.71
-4.9,2.72
-4.9,2.72
-4.91,2.72
-4.91,2.72
-4.91,2.73
-4.92,2.73
-4.92,2.73
-4.93,2.73
-4.93,2.73
-4.94,2.73
-4.94,2.73
-4.94,2.73
-4.94,2.73
-4.94,2.73
-4.94,2.73
-4.94,2.73
-4.94,2.73
-4.93,2.73
-4.93,2.73
-4.93,2.73
-4.93,2.73
-4.93,2.74
-4.93,2.74
-4.93,2.74
-4.93,2.74
-4.93,2.74
-4.93,2.74
-4.93,2.74
-4.94,2.74
-4.94,2.74
-4.94,2.74
-4.94,2.73
-4.94,2.73
-4.93,2.72
-4.94,2.72
-4.94,2.71
-4.94,2.71
-4.95,2.71
-4.95,2.7
-4.96,2.7
-4.97,2.7
-4.97,2.7
-4.98,2.71
-4.98,2.71
-4.98,2.72
-4.99,2.72
-4.99,2.73
-4.99,2.73
-4.99,2.74
-4.99,2.74
-4.98,2.74
-4.98,2.74
-4.97,2.74
-4.96,2.74
-4.96,2.73
-4.95,2.73
-4.94,2.73
-4.93,2.73
-4.92,2.73
-4.92,2.73
-4.92,2.73
-4.91,2.73
-4.91,2.73
-4.91,2.72
-4.92,2.72
-4.92,2.72
-4.93,2.72
-4.94,2.72
-4.94,2.72
-4.95,2.72
-4.96,2.72
-4.96,2.72
-4.96,2.73
-4.97,2.73
-4.97,2.73
-4.97,2.73
-4.97,2.73
-4.97,2.73
-4.96,2.73
-4.96,2.72
-4.95,2.72
-4.95,2.72
-4.95,2.72
-4.94,2.72
-4.94,2.72
-4.94,2.72
-4.94,2.73
-4.93,2.73
-4.93,2.73
-4.93,2.74
-4.93,2.74
-4.93,2.74
-4.93,2.73
-4.92,2.73
-4.92,2.73
-4.92,2.73
-4.92,2.72
-4.92,2.72
-4.92,2.72
-4.92,2.72
-4.92,2.71
-4.92,2.71
-4.92,2.71
-4.92,2.7
-4.92,2.7
-4.92,2.7
-4.92,2.7
-4.91,2.7
-4.91,2.7
-4.91,2.7
-4.91,2.7
-4.92,2.7
-4.92,2.7
-4.92,2.7
-4.92,2.7
-4.92,2.71
-4.92,2.71
-4.92,2.71
-4.92,2.71
-4.91,2.71
-4.91,2.71
-4.91,2.71
-4.91,2.71
-4.91,2.71
-4.91,2.71
-4.91,2.71
-4.91,2.7
-4.91,2.7
-4.9,2.7
-4.9,2.7
-4.9,2.69
-4.9,2.69
-4.9,2.69
-4.9,2.68
-4.9,2.68
-4.89,2.67
-4.89,2.67
-4.89,2.67
-4.89,2.67
-4.89,2.67
-4.89,2.67
-4.88,2.67
-4.88,2.67
-4.88,2.68
-4.88,2.68
-4.88,2.68
-4.88,2.68
-4.88,2.68
-4.88,2.68
-4.88,2.68
-4.88,2.68
-4.88,2.69
-4.88,2.69
-4.88,2.69
-4.88,2.7
-4.88,2.7
-4.88,2.7
-4.89,2.7
-4.89,2.7
-4.89,2.69
-4.89,2.69
-4.89,2.68
-4.89,2.68
-4.88,2.67
-4.88,2.67
-4.88,2.66
-4.88,2.66
-4.88,2.66
-4.87,2.66
-4.87,2.66
-4.87,2.66
-4.87,2.66
-4.87,2.66
-4.87,2.67
-4.87,2.67
-4.87,2.67
-4.87,2.67
-4.87,2.67
