A1,A2,A3,A4,A5,Noise,,Noise,,,,,,,,,,,,,,,
0.94,0.95,0.95,0.95,0.95,0.94,,0.96,,,,,,,,,,,,,,,
0.94,0.95,0.94,0.95,0.95,0.95,,0.98,,,,,,,,,,,,,,,
0.94,0.95,0.95,0.95,0.95,0.95,,1.06,,1.77,,,,,,,,,,,,,
0.94,0.95,0.95,0.95,0.95,0.97,,1.08,,,,,,,,,,,,,,,
0.94,0.95,0.95,0.95,0.95,0.96,,1,,,,,,,,,,,,,,,
0.94,0.95,0.95,0.95,0.95,0.95,,0.98,,,,,,,,,,,,,,,
0.95,0.95,0.95,0.95,0.95,0.93,,0.95,,,,,,,,,,,,,,,
0.95,0.95,0.95,0.95,0.95,0.92,,0.95,,,,,,,,,,,,,,,
0.95,0.95,0.95,0.95,0.95,0.96,,0.96,,,,,,,,,,,,,,,
0.95,0.95,0.95,0.95,0.95,0.96,,0.97,,,,,,,,,,,,,,,
0.95,0.95,0.95,0.95,0.95,0.93,,0.96,,,,,,,,,,,,,,,
0.95,0.95,0.95,0.95,0.95,0.97,,0.95,,,,,,,,,,,,,,,
0.95,0.95,0.95,0.95,0.95,1.04,,0.95,,,,,,,,,,,,,,,
0.95,0.95,0.95,0.95,0.95,0.91,,0.95,,,,,,,,,,,,,,,
0.95,0.96,0.95,0.95,0.95,0.95,,0.94,,,,,,,,,,,,,,,
0.95,0.95,0.94,0.95,0.95,0.95,,0.95,,,,,,,,,,,,,,,
0.95,0.95,0.95,0.95,0.95,0.96,,0.95,,range,value,,range,value,,range,value,,range,value,,range,value
0.95,0.95,0.96,0.95,0.95,0.98,,0.95,,31,0.95,,31,0.97,,31,0.98,,31,0.96,,31,0.99
0.95,0.95,0.95,0.95,0.95,1.06,,0.95,,40,1.78,,40,1.96,,37,1.74,,38,2.35,,38,2.42
0.94,0.98,0.95,0.95,0.95,1.08,,1.03,,47,0.94,,47,1.06,,47,1.17,,50,1.1,,46,1.21
0.95,0.95,0.94,0.95,0.95,1,,1.04,,55,2.17,,50,2.5,,55,2.03,,55,2.3,,56,2.4
0.95,0.95,0.96,0.95,0.95,0.98,,1.06,,,,,,,,,,,,,,,
0.95,0.95,0.96,0.96,0.95,0.95,,1.07,,,,,,,,,,,,,,,
0.95,0.95,0.95,0.95,0.95,0.95,,1.07,,,,,,,,,,,,,,,
0.95,0.95,0.94,0.94,0.95,0.96,,1.04,,,,,,,,,,,,,,,
0.95,0.95,0.96,0.95,0.95,0.97,,1,,,,,,,,,,,,,,,
0.95,0.95,0.96,0.95,1,0.96,,1.01,,,,,,,,,,,,,,,
0.95,0.96,0.95,0.95,0.94,0.95,,0.98,,,,,,,,,,,,,,,
0.95,0.95,0.95,0.94,0.96,0.95,,0.94,,,,,,,,,,,,,,,
0.96,0.97,0.96,0.96,0.97,0.95,,0.96,,,,,,,,,,,,,,,
0.95,0.97,0.98,0.96,0.99,0.94,,1.01,,,,,,,,,,,,,,,
1.05,1.07,1.02,1.05,1.1,0.95,,1.01,,,,,,,,,,,,,,,
1.01,1.13,1.16,1.19,1.2,0.95,,1.08,,,,,,,,,,,,,,,
1.18,1.23,1.32,1.31,1.34,0.95,,1.18,,,,,,,,,,,,,,,
1.28,1.31,1.5,1.57,1.58,0.95,,1.26,,,,,,,,,,,,,,,
1.37,1.35,1.64,1.86,1.91,1.03,,1.37,,,,,,,,,,,,,,,
1.54,1.51,1.74,2.12,2.16,1.04,,1.39,,,,,,,,,,,,,,,
1.6,1.74,1.75,2.35,2.42,1.06,,1.41,,,,,,,,,,,,,,,
1.65,1.81,1.85,2.41,2.7,1.07,,1.37,,,,,,,,,,,,,,,
1.78,1.96,1.69,2.23,2.65,1.07,,1.36,,,,,,,,,,,,,,,
1.77,2.18,1.54,2.02,2.47,1.04,,1.27,,,,,,,,,,,,,,,
1.81,2.03,1.53,1.81,2.36,1,,1.25,,,,,,,,,,,,,,,
1.76,2.06,1.4,1.64,2.19,1.01,,1.17,,,,,,,,,,,,,,,
1.51,1.83,1.23,1.31,2.22,0.98,,1.14,,,,,,,,,,,,,,,
1.39,1.72,1.35,1.4,2,0.94,,1.04,,,,,,,,,,,,,,,
1.02,1.37,1.24,1.26,2.07,0.96,,1.07,,,,,,,,,,,,,,,
